status in ontwerp:,,toelichting status:,,materiaal ID,,ruimte,,productgroep,,NL/Sfb,,Stabu-2,,element,,specificatie,,samen- hang R&F?,,verwijzing eis,,"norm / 
'+' optie",,impact  thema bij '+' optie:,,,,,,toets (status): ,,"toelichting 
status:",,acceptatie Eigen Haard:,,beargumentering/ motivatie:,
actueel,,,,M-22-003,,Gebouw,,22. Binnenwanden,,22.00,,22.00,,ALGEMEEN: stalen onderdelen binnen,,"Stalen onderdelen (binnen): 
in thermisch verzinkt stalen uitvoering. 
Bij renovatie: bestaande onderdelen behandeling in menie.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-004,,Gebouw,,22. Binnenwanden,,22.11,,22.43,,"BINNENWAND, CELLENBETON: cellenbeton, gelijmd",,"Cellenbeton gelijmd: 
- lijmblok: volgens NEN-EN 771-4-11.  
- verdiepingshoge elementen volgens NEN-EN 12602+a13. 
- standaard kwaliteit: G4/600. & G5/800 voor geluidsisolerende wanden.
- dikten: 70 en 100 mm. 
- Lijm- en vulmortel: volgens advies fabrikant/leverancier van de blokken. 
Toebehoren:  - aansluitprofielen, kunststof U-profielen. - veer-/stripankers van geperforeerd verzinkt staal. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-005,,Gebouw,,22. Binnenwanden,,22.11,,22.44,,"BINNENWAND, GIPSBLOK: gipsblokken gelijmd",,"Gips/-lijmblokken:  
- volgens NEN-EN 12859-11. 
- voorzien van tand en groef. 
- standaard (800-1100 kg/m3). 
- zwaar (≥ 1.100 kg/m3), voor extra geluidwerende binnenwanden. 
- vochtbestendig (wateraborptie na 2 uur onderdompelen ≤ 5% (droge massa)), de onderste laag in badkamers en toiletten. 
- 70 en 100 mm. 
- 70 mm zwaar toepassen voor binnenwanden met geluidseis volgens Bouwbesluit van -20 dB. 
- 100 mm toepassen voor wanden van badkamers en toiletten waarin elektradozen en afvoeren worden opgenomen. 
Lijmmortel:  - volgens advies fabrikant/leverancier 
van de blokken, waar nodig vochtbestendig. 
Toebehoren:  - aansluitprofielen, kunststof U-profielen. - veer-/stripankers van geperforeerd roestvast staal, kwaliteit AISI 304. - kunststof schuimband.  ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-006,,Gebouw,,22. Binnenwanden,,22.13,,44.42,,SYSTEEM- WANDEN VAST: in het werk af te werken prefab systeemwanden,,"In het werk af te werken prefab systeemwanden: 
Voor niet dragende binnenwanden prefab wandelementen toepassen:
- fabriakant: Faay;
- type VP70, tenzij het vanwege het systeemgewicht niet kan (bestaande bouw);
- toepassing van Gyproc Loopd voor afwerking van de systeemwanden.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-007,,Gebouw,,22. Binnenwanden,,22.13,,44.41,,SYSTEEM- WANDEN VAST: in het werk af te werken systeemwanden,,"In het werk af te werken prefab systeemwanden: 
- indien Faay technisch niet kan worden toegepast
- van gipskartonplaten, op verzinkt stalen skelet. 
- buitenste plaat in algemene verkeersruimten in stootvaste uitvoering. 
- isolatie van minerale wol en/of PIR platen. 
- systeem Metal Stud, samenstelling afhankelijk van de gestelde eisen en toepassing. 
- geen Resolschuim toepassen i.v.m. vochtopname;
- toepassing van Gyproc Loopd voor afwerking van de systeemwanden. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-008,,Gebouw,,22. Binnenwanden,,22.13,,44.41,,SYSTEEM- WANDEN VAST: in het werk af te werken voorzet- wanden,,"In het werk af te werken voorzetwanden:
- van gipskartonplaten, op verzinkt stalen skelet. 
- buitenste plaat in algemene verkeersruimten in stootvaste uitvoering. 
- isolatie van minerale wol en/of PIR platen. 
- systeem Metal Stud, samenstelling afhankelijk van de gestelde eisen en toepassing. 
- geen Resolschuim toepassen i.v.m. vochtopname;
- toepassing van Gyproc Loopd voor afwerking van de systeemwanden. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-009,,Gebouw,,22. Binnenwanden,,22.21,,22.42,,"BINNENWAND, KALKZAND- STEEN: kalkzandsteen, gelijmd",,"Kalkzandsteen lijmblok/-elementen: 
- druksterkte: volgens opgave constructeur
- Oppervlaktegroep overeenkomstig STABU Standaard, hfst. 22, bijlage A: groep 2;
- lijmmortel: - volgens advies fabrikant/leverancier van de blokken. 
Toebehoren:  - kimblokken. - lijmspouwankers, van roestvast staal, kwaliteit AISI 304, ø 4 mm. - veer-/stripankers van geperforeerd roestvast staal, kwaliteit AISI 304. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-010,,Gebouw,,22. Binnenwanden,,22.21,,22.42,,"BINNENWAND, KALKZAND- STEEN: kalkzandsteen, gelijmd",,"Kalkzandsteen lijmblok/-elementen: 
- kalkzandsteen elementen met recyclaat (zoals bijvoorbeeld Caldubo);
- druksterkte: volgens opgave constructeur
- Oppervlaktegroep overeenkomstig STABU Standaard, hfst. 22, bijlage A: groep 2;
- lijmmortel: - volgens advies fabrikant/leverancier van de blokken. 
Toebehoren:  - kimblokken. - lijmspouwankers, van roestvast staal, kwaliteit AISI 304, ø 4 mm. - veer-/stripankers van geperforeerd roestvast staal, kwaliteit AISI 304. ",,nee,,n.v.t.,, '+' optie,,,CD,,,,,,,,,,,,
actueel,,,,M-22-011,,Gebouw,,22. Binnenwanden,,22.21,,22.42,,"BINNENWAND, KALKZAND- STEEN: kalkzandsteen, gelijmd, schoon",,"Kalkzandsteen vellingblok (schoon): 
- druksterkte volgens opgave constructeur. 
- Oppervlaktegroep overeenkomstig STABU Standaard, hfst. 22, bijlage A: groep 3;
- lijmmortel: - volgens advies fabrikant/leverancier van de blokken. 
Toebehoren:  - kimblokken. - veer-/stripankers van geperforeerd roestvast staal, kwaliteit AISI 304. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-22-012,,Gebouw,,22. Binnenwanden,,22.21,,23.50,,"BINNENWAND, BETONELEMENT: betonnen wandelementen",,"Betonnen binnenwandelementen: 
 - bij voorkeur met recyclaat;
- sterkteklasse minimaal C35/45, volgens opgave constructeur;
- oppervlak ontkiste zijde klasse A volgens NEN 6722-02;
- in standaard grijs schoon beton. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-23-001,,Gebouw,,23. Vloeren,,21.00,,22.85,,ALGEMEEN: renovatie- roosters,,"Renovatieroosters: 
- van kunststof, pijp ø 50 mm, in te boren gat, voorzien van kunststof voorzetrooster, met RVS bevestigingsmiddelen, kwaliteit A2. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-23-002,,Gebouw,,23. Vloeren,,23.23,,23.42,,GALERIJEN: galerijen en bordesplaten,,"Galerijen en bordesplaten:  
- sterkteklasse minimaal C35/45, volgens constructeur. 
- oppervlak bovenkant en overige bekistingszijden klasse B volgens NEN 6722-02;
- loopvlak: binnen volkomen vlak v.v. 2 ribbels (antislip), loopvlak buiten v.v. loopvlak structuur Gain 7 (Companero) of gleijkwaardig; overige bekistingszijden volkomen glad en strak, geen luchtbelgaatjes toegestaan.
- onderzijde vlak en gerold. 
- in lichtgrijs schoon beton 
- oplegvoorzieningen van thermisch verzinkt staal en gepoedercoat, min. laagdikte 80 µm.
 -geïsoleerde stekanker-elementen in roestvast stalen uitvoering, kwaliteit AISI 316 Ti. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-23-003,,Woning,,23. Vloeren,,23.23,,23.43,,BALKONPLATEN,,"Balkonplaten:
- sterkteklasse minimaal C35/45, volgens constructeur. 
- oppervlak bovenkant en overige bekistingszijden klasse B volgens NEN 6722-02, , loopvlak zonder extra profilering.
- onderzijde vlak en gerold. 
- in lichtgrijs schoon beton 
- oplegvoorzieningen van thermisch verzinkt staal en gepoedercoat, min. laagdikte 80 µm.
 -geïsoleerde stekanker-elementen in roestvast stalen uitvoering, kwaliteit AISI 316 Ti. 
- renovatie: balkonvloer herstel (beton) dmv Triflex 2-componenten coating",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-23-004,,Gebouw,,23. Vloeren,,23.23,,25.33,,VLOEREN: zwaluwstaart- plaat (bestaande bouw): ,,"Zwaluwstaartplaat: 
- van gegalvaniseerd staal. 
- de platen los gelegd, overlappend, op geluidsisolerende oplegstroken van steenwol. 
- de platen rondom vrij houden van opgaand werk en isoleren met kantstroken. 
- onder de zwaluwstaartplaten een laag PE-folie aanbrengen, dikte 100 µm.
 - de vloeren voorzien van een constructieve afwerking van fijn grindbeton (kifbeton), kwaliteit C20/25.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-001,,Gebouw,,24. Trappen en hellingen,,24.00,,32.00,,ALGEMEEN: ,,Hout voorzien van FSC-keurmerk (hergebruikt hout uitgezonderd).,,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-002,,Gebouw,,24. Trappen en hellingen,,24.00,,41.00,,ALGEMEEN: trapafwerking,,"Trapafwerking betontrap (indien vanuit de entreehal zichtbaar, trap tot de 1e verdieping mee tegelen):
- fabrikaat Mosa.  
- Stroefheidsklasse (DIN 51130-04): R11/C.
- type Mosa Terra Maestricht. 
- ongeglazuurde dubbelhardgebakken vloertegels. 
- 1e soort.- prijsklasse 1. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-003,,Parkeer- voorziening,,24. Trappen en hellingen,,24.00,,14.40,,ALGEMEEN:  goot- elementen (vloerafvoer- goot),,"Gootelementen (vloerafvoergoot): 
- t.p.v. hellingbaan naar de parkeerkelder
- van polyesterbeton;
- thermisch verzinkt stalen roosters. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-004,,Woning,,24. Trappen en hellingen,,24.10,,32.31,,"VASTE TRAP, HOUT: houten trap",,"Houten trap: 
- traptreden en trapbomen van Europees vuren. 
- stootborden van multiplex. 
- muurleuning van gestoomd Europees beuken.
- vloer- en dekregels van Europees vuren. 
- spijlen: van ramin, ø 22 mm, h.o.h. 120 mm. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-005,,Woning,,24. Trappen en hellingen,,24.10,,32.31,,"VASTE TRAP, HOUT: houten trap",,"Houten trap, afwerking (binnen): 
- trapgatafwerking d.m.v. stroken multiplex plaat, op tengelwerk. 
- de trap geheel dekkend geschilderd, m.u.v. de traptreden, deze dekkend behandeld met grondverf, de hoofdleuning blank gelakt. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-006,,Woning,,24. Trappen en hellingen,,24.10,,32.31,,"VASTE TRAP, HOUT: houten trap",,"Houten trap, afwerking (binnen): 
houten trap afwerking gemeenschappelijk trappenhuis (renovatie); 
- stootboden en trapbomen dekkend geschilderd, traptreden voorzien van marmoleum afwerking en alumiminium antislip trapneusprofiel.",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
actueel,,,,M-24-007,,Woning,,24. Trappen en hellingen,,24.10,,32.31,,"VASTE TRAP, HOUT: vlizotrap",,"Houten trap, vlizotrap: 
- tweedelige vlieringtrap van hout. 
- zolderluik uit meubelplaat of met warmte-isolerend sandwichluik aan beide zijden wit gelakt. ",,nee,,n.v.t.,,norm,,,,,,,,,,,,,,,
